timestamp,api_latency_ms,error_rate,db_connections,queue_depth,vendor_latency_ms,requests_per_minute,retry_count,vendor_timeout_rate,deployment_version,incident_classifier_available
2026-08-12T10:00:00Z,184,0.004,31,11,218,704,0,0.002,web-2026.08.11.3,true
2026-08-12T10:02:00Z,188,0.004,31,12,225,711,0,0.002,web-2026.08.11.3,true
2026-08-12T10:04:00Z,191,0.005,32,12,242,706,0,0.003,web-2026.08.11.3,true
2026-08-12T10:06:00Z,198,0.005,32,13,335,709,0,0.006,web-2026.08.11.3,true
2026-08-12T10:08:00Z,216,0.006,33,16,510,714,1,0.014,web-2026.08.11.3,true
2026-08-12T10:10:00Z,255,0.007,34,21,690,708,2,0.025,web-2026.08.11.3,true
2026-08-12T10:12:00Z,342,0.009,36,38,910,716,3,0.041,web-2026.08.11.3,true
2026-08-12T10:14:00Z,515,0.012,40,61,1190,712,5,0.065,web-2026.08.11.3,true
2026-08-12T10:16:00Z,835,0.018,47,84,1450,718,7,0.092,web-2026.08.11.3,true
2026-08-12T10:18:00Z,1210,0.026,55,108,1690,710,9,0.128,web-2026.08.11.3,true
2026-08-12T10:20:00Z,1490,0.037,70,132,1810,721,11,0.164,web-2026.08.11.3,true
2026-08-12T10:22:00Z,1810,0.058,86,158,1940,715,13,0.211,web-2026.08.11.3,true
2026-08-12T10:24:00Z,2075,0.073,99,181,2050,719,15,0.254,web-2026.08.11.3,false
2026-08-12T10:26:00Z,2240,0.091,108,203,2140,713,16,0.286,web-2026.08.11.3,true
2026-08-12T10:28:00Z,2380,0.108,112,218,2218,707,17,0.311,web-2026.08.11.3,true
2026-08-12T10:30:00Z,2290,0.102,109,211,2185,705,14,0.274,web-2026.08.11.3,true
2026-08-12T10:32:00Z,1740,0.071,94,183,1510,701,8,0.160,web-2026.08.11.3,true
2026-08-12T10:34:00Z,1000,0.040,75,120,700,705,4,0.082,web-2026.08.11.3,true
2026-08-12T10:36:00Z,680,0.021,58,91,430,703,1,0.025,web-2026.08.11.3,true
2026-08-12T10:38:00Z,355,0.009,42,43,270,706,0,0.006,web-2026.08.11.3,true
