timestamp,api_latency_ms,error_rate,db_connections,queue_depth,vendor_latency_ms,requests_per_minute,incident_type
2026-02-02T08:00:00Z,492,0.0313,45,51,315,1724,traffic_spike
2026-02-02T08:05:00Z,662,0.0175,40,39,214,1564,traffic_spike
2026-02-02T08:10:00Z,1468,0.0481,56,58,875,551,vendor_degradation
2026-02-02T08:15:00Z,1317,0.0145,40,141,1594,694,vendor_degradation
2026-02-02T08:20:00Z,293,0.0076,43,2,351,547,normal
2026-02-02T08:25:00Z,188,0.0005,36,19,234,160,normal
2026-02-02T08:30:00Z,615,0.0041,73,76,398,1699,traffic_spike
2026-02-02T08:35:00Z,60,0.0243,95,57,189,749,database_pressure
2026-02-02T08:40:00Z,1037,0.0093,63,36,401,1611,traffic_spike
2026-02-02T08:45:00Z,1064,0.0251,109,47,193,884,database_pressure
2026-02-02T08:50:00Z,593,0.0712,55,108,263,327,database_pressure
2026-02-02T08:55:00Z,758,0.0535,40,91,867,568,vendor_degradation
2026-02-02T09:00:00Z,1066,0.0346,32,115,355,893,vendor_degradation
2026-02-02T09:05:00Z,463,0.0023,82,50,264,750,database_pressure
2026-02-02T09:10:00Z,500,0.0146,34,97,399,1759,traffic_spike
2026-02-02T09:15:00Z,1558,0.0183,72,156,102,838,database_pressure
2026-02-02T09:20:00Z,901,0.0413,82,70,246,1367,traffic_spike
2026-02-02T09:25:00Z,348,0.0074,31,5,471,811,normal
2026-02-02T09:30:00Z,905,0.0501,95,151,213,854,database_pressure
2026-02-02T09:35:00Z,624,0.0438,21,23,422,685,application_regression
2026-02-02T09:40:00Z,724,0.0297,53,36,469,1936,traffic_spike
2026-02-02T09:45:00Z,1221,0.0346,22,15,215,488,application_regression
2026-02-02T09:50:00Z,302,0.0097,38,16,230,548,normal
2026-02-02T09:55:00Z,680,0.0459,87,60,626,852,database_pressure
2026-02-02T10:00:00Z,1236,0.0275,70,70,1090,748,vendor_degradation
2026-02-02T10:05:00Z,376,0.0301,50,10,207,575,application_regression
2026-02-02T10:10:00Z,177,0.0132,42,2,231,498,normal
2026-02-02T10:15:00Z,725,0.0097,28,17,515,1626,traffic_spike
2026-02-02T10:20:00Z,819,0.0619,57,100,475,663,application_regression
2026-02-02T10:25:00Z,1000,0.0307,59,94,342,2262,traffic_spike
2026-02-02T10:30:00Z,993,0.0275,75,66,386,814,application_regression
2026-02-02T10:35:00Z,1913,0.0627,19,46,654,637,application_regression
2026-02-02T10:40:00Z,1182,0.0506,53,114,1404,928,vendor_degradation
