timestamp,vendor,endpoint,recent_vendor_latency_ms,recent_vendor_error_rate,queue_depth,retry_count,request_size_bytes,hour_of_day,request_failed
2026-03-02T00:00:00Z,ClearVerify,identity_verify,549,0.0582,34,1,2017,0,0
2026-03-02T00:03:00Z,ClearVerify,identity_document_upload,270,0.1373,12,0,727,0,0
2026-03-02T00:06:00Z,Northstar Payments,transfer_submit,147,0.1769,21,0,1214,0,1
2026-03-02T00:09:00Z,Northstar Payments,transfer_status,181,0.1203,0,1,749,0,0
2026-03-02T00:12:00Z,HarborLink Core Gateway,account_summary,496,0.0334,14,1,5431,0,0
2026-03-02T00:15:00Z,HarborLink Core Gateway,transaction_history,253,0.2261,34,0,1054,0,0
2026-03-02T00:18:00Z,BlueCurrent Documents,statement_fetch,324,0.0627,37,0,808,0,0
2026-03-02T00:21:00Z,BlueCurrent Documents,notice_fetch,45,0.0758,51,0,3620,0,0
2026-03-02T00:24:00Z,ClearVerify,identity_verify,262,0.0628,61,0,3082,0,1
2026-03-02T00:27:00Z,ClearVerify,identity_document_upload,494,0.0319,61,0,1484,0,0
2026-03-02T00:30:00Z,Northstar Payments,transfer_submit,206,0.0881,18,0,1305,0,0
2026-03-02T00:33:00Z,Northstar Payments,transfer_status,300,0.1632,18,0,1138,0,0
2026-03-02T00:36:00Z,HarborLink Core Gateway,account_summary,238,0.0522,36,1,2667,0,0
2026-03-02T00:39:00Z,HarborLink Core Gateway,transaction_history,399,0.0878,53,0,2713,0,0
2026-03-02T00:42:00Z,BlueCurrent Documents,statement_fetch,434,0.1754,9,0,1511,0,0
2026-03-02T00:45:00Z,BlueCurrent Documents,notice_fetch,233,0.1465,70,0,6773,0,0
2026-03-02T00:48:00Z,ClearVerify,identity_verify,276,0.0152,16,0,1419,0,0
2026-03-02T00:51:00Z,ClearVerify,identity_document_upload,137,0.0866,19,1,734,0,0
2026-03-02T00:54:00Z,Northstar Payments,transfer_submit,304,0.0610,37,0,2370,0,1
2026-03-02T00:57:00Z,Northstar Payments,transfer_status,185,0.0733,37,0,1248,0,0
2026-03-02T01:00:00Z,HarborLink Core Gateway,account_summary,318,0.1378,34,0,1103,1,1
2026-03-02T01:03:00Z,HarborLink Core Gateway,transaction_history,508,0.0723,13,0,1101,1,0
2026-03-02T01:06:00Z,BlueCurrent Documents,statement_fetch,340,0.0876,20,3,1624,1,1
2026-03-02T01:09:00Z,BlueCurrent Documents,notice_fetch,438,0.0433,18,0,330,1,0
2026-03-02T01:12:00Z,ClearVerify,identity_verify,381,0.0588,0,0,718,1,0
2026-03-02T01:15:00Z,ClearVerify,identity_document_upload,45,0.1222,10,0,1231,1,1
2026-03-02T01:18:00Z,Northstar Payments,transfer_submit,127,0.0800,28,0,2103,1,0
2026-03-02T01:21:00Z,Northstar Payments,transfer_status,456,0.0572,15,0,3461,1,0
2026-03-02T01:24:00Z,HarborLink Core Gateway,account_summary,561,0.0809,7,1,1890,1,1
2026-03-02T01:27:00Z,HarborLink Core Gateway,transaction_history,205,0.1098,8,0,258,1,0
2026-03-02T01:30:00Z,BlueCurrent Documents,statement_fetch,425,0.1760,85,0,1981,1,0
2026-03-02T01:33:00Z,BlueCurrent Documents,notice_fetch,328,0.0979,0,0,1065,1,0
2026-03-02T01:36:00Z,ClearVerify,identity_verify,177,0.0219,16,2,2352,1,0
2026-03-02T01:39:00Z,ClearVerify,identity_document_upload,480,0.1730,59,0,3200,1,1
2026-03-02T01:42:00Z,Northstar Payments,transfer_submit,327,0.1465,39,0,975,1,0
2026-03-02T01:45:00Z,Northstar Payments,transfer_status,149,0.0274,0,0,2413,1,0
2026-03-02T01:48:00Z,HarborLink Core Gateway,account_summary,370,0.0154,48,0,1842,1,0
2026-03-02T01:51:00Z,HarborLink Core Gateway,transaction_history,127,0.0419,21,0,1364,1,0
2026-03-02T01:54:00Z,BlueCurrent Documents,statement_fetch,69,0.0844,82,0,967,1,1
2026-03-02T01:57:00Z,BlueCurrent Documents,notice_fetch,183,0.0673,8,0,3300,1,0
2026-03-02T02:00:00Z,ClearVerify,identity_verify,240,0.0518,14,0,2833,2,0
2026-03-02T02:03:00Z,ClearVerify,identity_document_upload,255,0.0504,0,0,704,2,0
2026-03-02T02:06:00Z,Northstar Payments,transfer_submit,186,0.0989,0,0,856,2,0
2026-03-02T02:09:00Z,Northstar Payments,transfer_status,230,0.1621,34,1,1807,2,1
2026-03-02T02:12:00Z,HarborLink Core Gateway,account_summary,372,0.1460,22,2,3092,2,0
2026-03-02T02:15:00Z,HarborLink Core Gateway,transaction_history,307,0.1769,15,2,1249,2,1
2026-03-02T02:18:00Z,BlueCurrent Documents,statement_fetch,86,0.0941,32,0,896,2,0
2026-03-02T02:21:00Z,BlueCurrent Documents,notice_fetch,334,0.0928,41,0,1362,2,1
2026-03-02T02:24:00Z,ClearVerify,identity_verify,618,0.0493,10,0,1025,2,0
2026-03-02T02:27:00Z,ClearVerify,identity_document_upload,224,0.0067,15,0,2382,2,0
2026-03-02T02:30:00Z,Northstar Payments,transfer_submit,381,0.0407,63,0,11354,2,0
2026-03-02T02:33:00Z,Northstar Payments,transfer_status,297,0.0174,63,1,1187,2,0
2026-03-02T02:36:00Z,HarborLink Core Gateway,account_summary,129,0.2089,60,0,1422,2,1
2026-03-02T02:39:00Z,HarborLink Core Gateway,transaction_history,437,0.0967,0,2,2087,2,1
2026-03-02T02:42:00Z,BlueCurrent Documents,statement_fetch,525,0.0303,33,0,605,2,0
2026-03-02T02:45:00Z,BlueCurrent Documents,notice_fetch,400,0.0629,62,1,1630,2,1
2026-03-02T02:48:00Z,ClearVerify,identity_verify,308,0.0491,0,1,808,2,0
2026-03-02T02:51:00Z,ClearVerify,identity_document_upload,255,0.0314,8,1,673,2,0
2026-03-02T02:54:00Z,Northstar Payments,transfer_submit,118,0.0501,16,0,2603,2,0
2026-03-02T02:57:00Z,Northstar Payments,transfer_status,45,0.2800,2,2,1538,2,0
2026-03-02T03:00:00Z,HarborLink Core Gateway,account_summary,290,0.1398,69,1,2499,3,0
2026-03-02T03:03:00Z,HarborLink Core Gateway,transaction_history,489,0.0228,103,0,1344,3,0
2026-03-02T03:06:00Z,BlueCurrent Documents,statement_fetch,236,0.1079,63,2,894,3,1
2026-03-02T03:09:00Z,BlueCurrent Documents,notice_fetch,400,0.0114,55,2,494,3,0
2026-03-02T03:12:00Z,ClearVerify,identity_verify,488,0.0536,0,0,715,3,0
2026-03-02T03:15:00Z,ClearVerify,identity_document_upload,174,0.0548,26,0,11248,3,0
2026-03-02T03:18:00Z,Northstar Payments,transfer_submit,290,0.1174,83,0,414,3,0
2026-03-02T03:21:00Z,Northstar Payments,transfer_status,45,0.0697,62,2,3236,3,0
2026-03-02T03:24:00Z,HarborLink Core Gateway,account_summary,119,0.0616,78,0,599,3,0
2026-03-02T03:27:00Z,HarborLink Core Gateway,transaction_history,346,0.0502,51,0,2325,3,1
2026-03-02T03:30:00Z,BlueCurrent Documents,statement_fetch,213,0.0938,10,0,2098,3,0
2026-03-02T03:33:00Z,BlueCurrent Documents,notice_fetch,299,0.2201,33,0,1069,3,0
2026-03-02T03:36:00Z,ClearVerify,identity_verify,248,0.0448,31,0,1254,3,0
2026-03-02T03:39:00Z,ClearVerify,identity_document_upload,167,0.0010,12,0,917,3,0
2026-03-02T03:42:00Z,Northstar Payments,transfer_submit,362,0.0241,4,0,1652,3,0
