timestamp,api_latency_ms,error_rate,db_connections,queue_depth,vendor_latency_ms,requests_per_minute
2026-01-05T08:00:00Z,188,0.0045,32,10,238,446
2026-01-05T08:05:00Z,183,0.0048,29,9,249,435
2026-01-05T08:10:00Z,200,0.0043,31,14,267,464
2026-01-05T08:15:00Z,197,0.0044,33,11,281,477
2026-01-05T08:20:00Z,182,0.0046,32,16,249,464
2026-01-05T08:25:00Z,176,0.0045,32,13,218,468
2026-01-05T08:30:00Z,210,0.0041,35,14,266,487
2026-01-05T08:35:00Z,194,0.0048,35,13,258,516
2026-01-05T08:40:00Z,201,0.0048,34,16,260,526
2026-01-05T08:45:00Z,183,0.0047,29,16,242,469
2026-01-05T08:50:00Z,186,0.0043,37,11,262,498
2026-01-05T08:55:00Z,202,0.003,33,14,266,526
2026-01-05T09:00:00Z,208,0.0046,35,13,241,482
2026-01-05T09:05:00Z,196,0.0049,33,16,272,513
2026-01-05T09:10:00Z,174,0.0055,34,17,274,525
2026-01-05T09:15:00Z,181,0.0045,32,10,253,520
2026-01-05T09:20:00Z,202,0.0027,34,16,247,499
2026-01-05T09:25:00Z,195,0.0051,34,12,246,494
2026-01-05T09:30:00Z,190,0.0055,32,16,256,493
2026-01-05T09:35:00Z,163,0.0043,33,13,253,485
2026-01-05T09:40:00Z,199,0.0041,32,16,270,494
2026-01-05T09:45:00Z,177,0.0044,32,13,252,474
2026-01-05T09:50:00Z,175,0.0054,30,12,252,462
2026-01-05T09:55:00Z,214,0.0031,33,15,246,482
2026-01-05T10:00:00Z,164,0.0034,30,6,268,433
2026-01-05T10:05:00Z,162,0.0034,32,8,253,425
2026-01-05T10:10:00Z,156,0.0038,29,9,215,396
2026-01-05T10:15:00Z,172,0.0044,29,8,244,376
2026-01-05T10:20:00Z,164,0.0017,28,10,230,385
2026-01-05T10:25:00Z,187,0.0039,30,9,260,392
2026-01-05T10:30:00Z,164,0.0041,30,9,246,361
2026-01-05T10:35:00Z,156,0.0053,31,8,200,427
2026-01-05T10:40:00Z,152,0.0024,28,7,212,351
2026-01-05T10:45:00Z,147,0.0025,25,8,213,319
2026-01-05T10:50:00Z,168,0.0026,27,8,212,343
2026-01-05T10:55:00Z,172,0.0025,26,7,225,352
2026-01-05T11:00:00Z,141,0.0032,26,9,224,336
2026-01-05T11:05:00Z,148,0.0017,25,4,186,290
2026-01-05T11:10:00Z,149,0.003,29,4,205,334
2026-01-05T11:15:00Z,156,0.0038,26,10,250,352
2026-01-05T11:20:00Z,161,0.0034,26,7,226,345
2026-01-05T11:25:00Z,144,0.0036,30,9,215,351
2026-01-05T11:30:00Z,167,0.0033,28,10,227,342
2026-01-05T11:35:00Z,171,0.0021,28,7,243,351
2026-01-05T11:40:00Z,165,0.0022,28,7,256,370
2026-01-05T11:45:00Z,171,0.0041,27,7,240,381
2026-01-05T11:50:00Z,156,0.0026,31,9,264,393
2026-01-05T11:55:00Z,199,0.0039,29,6,243,393
2026-01-05T12:00:00Z,177,0.0042,31,10,222,419
2026-01-05T12:05:00Z,150,0.0029,32,7,252,369
2026-01-05T12:10:00Z,186,0.0034,32,7,258,433
2026-01-05T12:15:00Z,182,0.0042,33,5,278,436
2026-01-05T12:20:00Z,185,0.0031,30,11,221,452
2026-01-05T12:25:00Z,174,0.0055,32,17,230,442
2026-01-05T12:30:00Z,192,0.0041,35,11,257,495
2026-01-05T12:35:00Z,187,0.0044,34,14,275,494
2026-01-05T12:40:00Z,196,0.0045,31,15,253,490
2026-01-05T12:45:00Z,180,0.0037,31,16,244,463
2026-01-05T12:50:00Z,188,0.0051,36,12,263,531
2026-01-05T12:55:00Z,177,0.0046,35,14,282,512
2026-01-05T13:00:00Z,195,0.0035,33,17,253,498
2026-01-05T13:05:00Z,195,0.005,35,18,256,535
2026-01-05T13:10:00Z,169,0.0051,33,12,262,519
2026-01-05T13:15:00Z,218,0.0051,35,17,276,549
2026-01-05T13:20:00Z,190,0.0037,35,12,290,521
