timestamp,query_family,rows_expected_band,join_count,filter_count,uses_sort,uses_aggregation,uses_grouping,current_db_connections,current_queue_depth,recent_db_latency_ms,requests_per_minute,query_duration_ms
2026-01-01T00:00:00Z,member_search,large,2,3,false,false,false,40,0,97.82,317.06,517.99
2026-01-01T00:05:00Z,account_summary,small,1,4,false,false,false,28,0,99.12,241.20,278.77
2026-01-01T00:10:00Z,transfer_history,medium,4,1,false,false,false,45,6,148.28,93.74,568.23
2026-01-01T00:15:00Z,statement_lookup,tiny,4,6,false,true,false,28,0,102.45,258.51,344.37
2026-01-01T00:20:00Z,transaction_history,medium,2,6,false,false,false,49,3,123.79,230.84,522.22
2026-01-01T00:25:00Z,account_summary,large,2,2,false,true,false,31,0,121.85,213.86,489.34
2026-01-01T00:30:00Z,statement_lookup,small,3,3,false,false,false,38,0,120.06,195.08,462.09
2026-01-01T00:35:00Z,account_summary,medium,3,3,false,false,false,45,0,156.98,327.48,419.56
2026-01-01T00:40:00Z,verification_audit,medium,1,5,false,false,false,29,0,118.40,271.19,507.47
2026-01-01T00:45:00Z,verification_audit,tiny,4,6,false,true,false,52,0,110.81,259.31,530.41
2026-01-01T00:50:00Z,transfer_history,medium,3,4,false,false,false,23,0,50.50,263.88,440.21
2026-01-01T00:55:00Z,verification_audit,small,4,2,false,false,false,35,0,107.30,238.23,523.13
2026-01-01T01:00:00Z,account_summary,tiny,0,5,true,false,false,41,0,132.57,159.77,170.91
2026-01-01T01:05:00Z,member_search,large,3,6,true,false,false,24,0,78.31,198.45,724.03
2026-01-01T01:10:00Z,transaction_history,small,3,1,true,true,true,33,0,93.82,139.18,725.50
2026-01-01T01:15:00Z,transfer_history,small,4,2,false,false,false,35,0,94.63,313.31,478.81
2026-01-01T01:20:00Z,account_summary,tiny,1,5,true,false,false,50,3,137.35,317.48,157.77
2026-01-01T01:25:00Z,transaction_history,very_large,3,6,false,false,false,42,0,99.62,258.90,1103.38
2026-01-01T01:30:00Z,statement_lookup,medium,1,5,true,false,false,29,0,95.42,217.20,375.90
2026-01-01T01:35:00Z,account_summary,large,4,5,true,false,false,39,0,93.35,260.89,887.79
2026-01-01T01:40:00Z,statement_lookup,large,3,4,true,true,false,43,0,133.19,254.75,1039.42
2026-01-01T01:45:00Z,transfer_history,large,4,3,true,true,false,41,10,124.30,220.61,1123.82
2026-01-01T01:50:00Z,member_search,very_large,4,6,false,false,false,39,0,111.01,339.06,902.24
2026-01-01T01:55:00Z,verification_audit,large,0,5,true,false,false,31,0,121.03,139.08,997.56
2026-01-01T02:00:00Z,verification_audit,medium,3,6,false,false,false,44,1,131.14,268.53,595.12
2026-01-01T02:05:00Z,transaction_history,large,2,1,false,true,false,45,3,125.99,283.95,698.62
2026-01-01T02:10:00Z,transaction_history,tiny,2,6,false,true,true,26,0,81.85,242.05,510.39
2026-01-01T02:15:00Z,member_search,very_large,4,4,false,false,false,39,3,159.84,237.33,965.24
2026-01-01T02:20:00Z,transaction_history,large,3,3,false,true,true,27,0,62.61,235.23,671.62
2026-01-01T02:25:00Z,account_summary,medium,3,6,false,true,true,30,0,97.09,209.24,583.38
2026-01-01T02:30:00Z,transaction_history,small,4,6,true,false,false,45,0,137.57,384.49,499.75
2026-01-01T02:35:00Z,transfer_history,small,2,3,false,true,true,36,0,112.21,139.53,472.19
2026-01-01T02:40:00Z,member_search,small,2,2,true,false,false,31,0,123.00,223.76,447.41
2026-01-01T02:45:00Z,member_search,large,0,4,true,false,false,37,0,130.05,281.55,827.48
2026-01-01T02:50:00Z,account_summary,very_large,3,5,true,false,false,55,0,170.29,337.73,1272.11
2026-01-01T02:55:00Z,transaction_history,small,3,6,true,false,false,31,0,86.38,203.06,551.64
2026-01-01T03:00:00Z,statement_lookup,small,2,5,false,false,false,33,0,146.59,330.63,219.55
