timestamp,vendor_latency_ms,queue_depth,db_connections,retry_count,request_failed
2026-08-12T09:00:00Z,205,9,28,0,0
2026-08-12T09:01:00Z,218,11,29,0,0
2026-08-12T09:02:00Z,227,12,30,0,0
2026-08-12T09:03:00Z,241,14,31,0,0
2026-08-12T09:04:00Z,255,13,31,0,0
2026-08-12T09:05:00Z,280,16,33,0,0
2026-08-12T09:06:00Z,315,18,34,0,0
2026-08-12T09:07:00Z,350,20,35,1,0
2026-08-12T09:08:00Z,410,23,37,0,0
2026-08-12T09:09:00Z,475,25,38,1,0
2026-08-12T09:10:00Z,540,29,40,1,0
2026-08-12T09:11:00Z,620,34,43,1,0
2026-08-12T09:12:00Z,730,39,46,1,0
2026-08-12T09:13:00Z,860,45,49,1,0
2026-08-12T09:14:00Z,980,52,53,2,0
2026-08-12T09:15:00Z,1110,58,57,2,1
2026-08-12T09:16:00Z,1250,65,60,2,0
2026-08-12T09:17:00Z,1390,73,64,2,1
2026-08-12T09:18:00Z,1480,81,68,3,1
2026-08-12T09:19:00Z,1575,90,72,2,1
2026-08-12T09:20:00Z,1660,101,77,3,1
2026-08-12T09:21:00Z,1740,112,82,3,1
2026-08-12T09:22:00Z,1815,124,87,4,1
2026-08-12T09:23:00Z,1900,137,92,4,1
2026-08-12T09:24:00Z,1980,149,97,4,1
2026-08-12T09:25:00Z,1720,131,89,3,0
2026-08-12T09:26:00Z,1510,108,80,3,1
2026-08-12T09:27:00Z,1220,84,69,2,0
2026-08-12T09:28:00Z,890,59,55,1,0
2026-08-12T09:29:00Z,560,36,44,1,0
