timestamp,transaction_type,channel,amount_band,hour_of_day,recent_transaction_count,minutes_since_previous_transaction,device_change,distance_from_recent_pattern,recent_failed_transaction_count,manual_review_required
2025-01-01T00:00:00Z,bill_payment,web,100_to_499,4,3,10.19,false,0.542,0,1
2025-01-01T00:17:00Z,external_transfer,mobile,500_to_999,19,4,79.35,false,0.280,0,1
2025-01-01T00:34:00Z,atm_withdrawal,web,25_to_99,1,2,18.39,true,0.299,1,1
2025-01-01T00:51:00Z,external_transfer,branch_assisted,100_to_499,21,2,41.71,false,0.594,1,0
2025-01-01T01:08:00Z,bill_payment,mobile,25_to_99,3,0,10.60,false,0.092,1,0
2025-01-01T01:25:00Z,debit_purchase,mobile,25_to_99,2,1,39.01,false,0.198,0,0
2025-01-01T01:42:00Z,internal_transfer,mobile,1000_to_2499,23,2,14.64,false,0.507,0,0
2025-01-01T01:59:00Z,bill_payment,mobile,500_to_999,0,3,99.51,true,0.296,2,1
2025-01-01T02:16:00Z,external_transfer,mobile,25_to_99,19,7,25.60,false,0.299,0,1
2025-01-01T02:33:00Z,deposit,web,25_to_99,6,1,103.93,false,0.173,1,1
2025-01-01T02:50:00Z,atm_withdrawal,mobile,under_25,11,5,68.73,false,0.103,0,0
2025-01-01T03:07:00Z,debit_purchase,web,under_25,3,2,193.54,false,0.118,1,0
2025-01-01T03:24:00Z,bill_payment,mobile,25_to_99,1,1,11.83,false,0.150,0,0
2025-01-01T03:41:00Z,debit_purchase,web,100_to_499,19,2,11.54,false,0.035,1,1
2025-01-01T03:58:00Z,atm_withdrawal,mobile,100_to_499,5,5,34.91,false,0.208,0,0
2025-01-01T04:15:00Z,debit_purchase,mobile,under_25,15,1,18.44,false,0.454,0,0
2025-01-01T04:32:00Z,debit_purchase,web,under_25,8,4,98.60,false,0.371,0,0
2025-01-01T04:49:00Z,deposit,mobile,under_25,12,1,70.32,false,0.316,2,1
2025-01-01T05:06:00Z,deposit,mobile,100_to_499,22,1,61.07,false,0.234,0,0
2025-01-01T05:23:00Z,debit_purchase,atm,100_to_499,5,2,48.86,true,0.558,0,1
