timestamp,transaction_type,channel,amount_band,hour_of_day,recent_transaction_count,minutes_since_previous_transaction,device_change,distance_from_recent_pattern
2026-01-01T12:03:00Z,external_transfer,web,500_to_999,12,3,28.07,false,0.320
2026-01-01T18:02:00Z,debit_purchase,atm,under_25,18,0,76.05,false,0.160
2026-01-01T15:52:00Z,bill_payment,branch_assisted,100_to_499,15,3,28.17,false,0.025
2026-01-01T14:46:00Z,debit_purchase,mobile,25_to_99,14,3,31.12,true,0.201
2026-01-02T18:41:00Z,debit_purchase,mobile,under_25,18,0,95.34,false,0.304
2026-01-02T19:57:00Z,debit_purchase,mobile,under_25,19,1,24.12,false,0.114
2026-01-02T20:17:00Z,bill_payment,branch_assisted,1000_to_2499,20,3,70.54,false,0.385
2026-01-02T16:43:00Z,debit_purchase,web,under_25,16,4,79.87,false,0.081
2026-01-03T10:45:00Z,atm_withdrawal,atm,100_to_499,10,4,87.55,false,0.092
2026-01-03T17:48:00Z,debit_purchase,web,under_25,17,0,102.04,false,0.201
2026-01-03T18:51:00Z,internal_transfer,mobile,1000_to_2499,18,3,67.90,false,0.088
2026-01-03T17:54:00Z,internal_transfer,mobile,100_to_499,17,0,65.87,false,0.222
2026-01-04T10:55:00Z,atm_withdrawal,atm,25_to_99,10,3,48.45,false,0.144
2026-01-04T11:36:00Z,debit_purchase,mobile,25_to_99,11,2,98.76,false,0.254
2026-01-04T09:37:00Z,deposit,atm,500_to_999,9,1,97.83,false,0.108
2026-01-04T03:08:00Z,debit_purchase,atm,under_25,3,1,53.24,false,0.072
2026-01-05T11:40:00Z,bill_payment,branch_assisted,1000_to_2499,11,1,194.56,false,0.118
2026-01-05T10:16:00Z,debit_purchase,mobile,under_25,10,1,60.41,false,0.326
2026-01-05T16:00:00Z,bill_payment,mobile,100_to_499,16,1,37.65,false,0.518
2026-01-05T12:52:00Z,external_transfer,web,2500_plus,12,2,70.89,false,0.275
2026-01-06T13:22:00Z,internal_transfer,web,500_to_999,13,4,69.43,false,0.185
2026-01-06T18:23:00Z,debit_purchase,atm,under_25,18,0,57.77,false,0.181
2026-01-06T11:23:00Z,debit_purchase,web,25_to_99,11,1,67.55,false,0.176
2026-01-06T17:06:00Z,bill_payment,branch_assisted,500_to_999,17,3,46.20,false,0.203
2026-01-07T11:38:00Z,internal_transfer,web,25_to_99,11,2,13.00,false,0.227
2026-01-07T15:43:00Z,debit_purchase,mobile,25_to_99,15,2,70.78,false,0.192
2026-01-07T17:25:00Z,internal_transfer,mobile,100_to_499,17,5,36.89,false,0.165
2026-01-07T19:32:00Z,internal_transfer,branch_assisted,100_to_499,19,2,30.10,false,0.084
2026-01-08T17:05:00Z,external_transfer,web,100_to_499,17,3,32.61,false,0.235
2026-01-08T12:24:00Z,debit_purchase,atm,under_25,12,0,34.42,false,0.285
2026-01-08T17:03:00Z,atm_withdrawal,atm,under_25,17,3,139.22,false,0.141
2026-01-08T09:18:00Z,internal_transfer,web,25_to_99,9,3,104.94,false,0.027
2026-01-09T17:55:00Z,atm_withdrawal,atm,100_to_499,17,2,133.84,false,0.285
2026-01-09T17:31:00Z,internal_transfer,mobile,500_to_999,17,2,35.57,false,0.198
2026-01-09T13:59:00Z,bill_payment,branch_assisted,100_to_499,13,0,81.03,false,0.196
